avg,slg,obp,ab,r,h,hbp,h2b,h3b,hr,rbi,bb,so,pk,team_name,date,ops
.241,0.357,0.332,38,9,12,0,4,0,4,9,0,8,0,GSV,2024-10-24,0.6890000000000001
.221,0.336,0.323,33,4,7,0,0,0,3,4,0,5,0,MOC,2024-10-24,0.659
.253,0.382,0.32,31,2,4,1,0,0,0,2,0,9,0,JAL,2024-11-03,0.702
.261,0.395,0.352,31,0,5,1,0,0,0,0,0,9,0,MOC,2024-11-03,0.747
.231,0.309,0.327,31,4,6,0,1,0,0,4,0,4,0,GSV,2024-10-23,0.636
.222,0.321,0.324,34,8,10,1,4,0,1,7,1,4,0,MOC,2024-10-23,0.645
.207,0.261,0.324,27,1,4,1,1,0,0,1,0,7,1,OBR,2024-10-15,0.585
.221,0.316,0.33,29,3,5,0,0,0,0,3,0,3,0,MOC,2024-10-15,0.646
.236,0.319,0.329,27,1,1,1,0,0,0,1,0,14,0,GSV,2024-10-22,0.648
.214,0.299,0.312,24,3,3,1,1,0,0,3,0,8,0,MOC,2024-10-22,0.611
.201,0.273,0.324,32,5,8,1,0,0,1,4,0,7,0,OBR,2024-10-17,0.597
.217,0.289,0.326,30,1,5,0,0,0,0,1,0,8,0,MOC,2024-10-17,0.615
.189,0.254,0.308,30,1,4,1,0,0,1,1,1,8,0,OBR,2024-10-16,0.562
.230,0.32,0.34,27,2,7,1,0,1,0,1,1,7,1,MOC,2024-10-16,0.66
.250,0.338,0.32,39,6,12,1,6,0,0,6,1,6,0,NAV,2024-10-13,0.658
.242,0.379,0.37,33,7,9,0,2,0,2,6,0,10,0,MOC,2024-10-13,0.749
.241,0.3,0.315,31,0,5,0,1,0,0,0,0,9,0,MAZ,2024-11-03,0.615
.252,0.363,0.345,27,1,5,0,2,0,0,1,0,5,0,GSV,2024-11-03,0.708
.245,0.306,0.32,33,0,7,0,3,0,0,0,0,7,0,MAZ,2024-11-02,0.626
.255,0.368,0.35,32,2,9,0,2,0,0,2,1,8,0,GSV,2024-11-02,0.718
.222,0.332,0.297,30,0,5,0,1,0,0,0,0,14,0,MXC,2024-11-08,0.629
.246,0.353,0.339,29,4,6,0,0,1,1,4,0,11,0,GSV,2024-11-08,0.692
.283,0.434,0.349,36,7,14,0,1,0,0,7,0,7,1,CUL,2024-10-17,0.7829999999999999
.252,0.296,0.344,31,0,8,1,1,0,0,0,0,5,0,GSV,2024-10-17,0.6399999999999999
.247,0.306,0.323,41,14,17,2,2,0,0,13,0,9,0,MAZ,2024-11-01,0.629
.253,0.369,0.351,31,2,7,1,0,0,0,2,0,10,0,GSV,2024-11-01,0.72
.245,0.388,0.296,33,3,7,1,1,0,1,3,0,10,0,CUL,2024-10-15,0.6839999999999999
.253,0.305,0.333,30,7,11,1,2,0,0,7,0,3,0,GSV,2024-10-15,0.638
.224,0.317,0.308,37,6,11,1,2,0,1,6,1,6,0,MTY,2024-10-26,0.625
