season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA
2023,5483.0,Sultanes de Monterrey,672438,Roberto Valenzuela,6,SS,226,86.0,59.0,1.0,1,0.358,17.0,2.0,5.0,30.0,943,4.173,13.7,7.5,0.009,1.824,0.115,2.0,0.0,30,383,50,176,10,4,68,10,0,30,24,MTY,2,17,31,191,64,5.0,5.3,13.1,22.7,52.3,19.3,5.7,-0.062,0.408
2023,5483.0,Sultanes de Monterrey,680643,Juan Mora,4,2B,135,47.0,61.0,1.0,0,0.375,8.0,2.0,5.0,26.0,456,3.378,5.2,15.6,0.0,0.333,0.064,1.0,2.0,16,245,39,105,4,4,42,5,0,13,21,MTY,0,21,7,125,39,0.0,8.6,15.9,20.0,60.0,16.2,3.8,0.104,0.346
2023,5483.0,Sultanes de Monterrey,640460,Dustin Peterson,9,RF,165,63.0,76.0,0.0,1,0.374,11.0,3.0,1.0,13.0,626,3.794,12.7,22.4,0.03,0.568,0.15,1.0,0.0,20,277,65,104,11,6,25,9,0,17,16,MTY,5,37,21,140,42,17.2,10.4,23.5,27.9,39.4,22.1,10.6,0.097,0.393
2023,5483.0,Sultanes de Monterrey,661311,Brandon Villarreal,9,RF,214,62.0,93.0,6.0,2,0.333,5.0,7.0,1.0,32.0,734,3.43,2.8,12.6,0.0,0.222,0.031,3.0,0.0,29,363,48,174,16,6,67,10,0,19,27,MTY,0,27,6,193,56,0.0,6.5,13.2,22.4,54.0,14.4,9.2,0.098,0.304
2023,5483.0,Sultanes de Monterrey,656252,Bobby Bradley,3,1B,151,54.0,70.0,0.0,1,0.391,9.0,3.0,1.0,21.0,557,3.689,5.3,29.8,0.02,0.178,0.108,2.0,0.0,19,281,103,95,2,7,28,5,0,15,19,MTY,3,45,8,139,39,12.5,18.5,36.7,25.3,49.5,23.2,2.1,0.245,0.34
2023,5483.0,Sultanes de Monterrey,616570,Daniel Sanchez,2,C,96,38.0,48.0,1.0,1,0.292,7.0,2.0,2.0,13.0,381,3.969,8.3,16.7,0.042,0.5,0.179,1.0,0.0,3,165,26,70,4,3,37,3,0,12,8,MTY,4,16,8,84,23,66.7,6.8,15.8,8.6,64.3,21.4,5.7,0.084,0.37
2023,5483.0,Sultanes de Monterrey,624523,Riley Unroe,4,2B,143,35.0,57.0,1.0,2,0.333,4.0,1.0,5.0,26.0,573,4.007,16.1,17.5,0.0,0.92,0.034,1.0,0.0,27,260,73,94,7,6,23,1,1,12,17,MTY,0,25,23,116,31,0.0,12.7,28.1,29.8,42.6,19.1,8.5,0.0139999999999999,0.339
2023,5483.0,Sultanes de Monterrey,680710,Grant Witherspoon,8,CF,228,94.0,98.0,1.0,3,0.288,25.0,1.0,6.0,42.0,902,3.956,13.6,25.9,0.048,0.525,0.245,1.0,0.0,30,401,148,137,16,4,40,15,0,18,14,MTY,11,59,31,192,47,24.4,16.4,36.9,32.8,39.4,16.1,11.7,0.123,0.376
2023,5483.0,Sultanes de Monterrey,616404,Edson Garcia,7,LF,150,48.0,40.0,2.0,0,0.277,11.0,4.0,1.0,9.0,613,4.087,11.3,15.3,0.02,0.739,0.134,0.0,0.0,20,290,76,106,17,6,32,5,0,19,7,MTY,3,23,17,127,31,12.0,12.4,26.2,23.6,36.8,23.6,16.0,0.0399999999999999,0.346
2023,5483.0,Sultanes de Monterrey,669911,Michael Toglia,3,1B,118,50.0,51.0,0.0,2,0.328,13.0,1.0,1.0,17.0,480,4.068,13.6,32.2,0.042,0.421,0.263,2.0,0.0,17,217,86,63,7,4,11,6,0,15,3,MTY,5,38,16,99,24,21.7,17.9,39.6,36.5,22.2,30.2,11.1,0.186,0.365
2023,5483.0,Sultanes de Monterrey,673374,Cesar Mendoza,10,DH,106,30.0,35.0,0.0,1,0.3,6.0,2.0,3.0,17.0,421,3.972,11.3,19.8,0.009,0.571,0.088,2.0,1.0,15,207,43,71,4,4,26,5,0,11,6,MTY,1,21,12,91,22,5.0,10.2,20.8,28.2,45.1,21.1,5.6,0.085,0.325
2023,5483.0,Sultanes de Monterrey,679701,Ben Aklinski,7,LF,54,13.0,22.0,0.0,0,0.286,2.0,3.0,0.0,11.0,205,3.796,16.7,13.0,0.0,1.286,0.071,1.0,0.0,11,83,22,35,3,1,10,2,0,3,5,MTY,0,7,9,42,10,0.0,10.7,26.5,37.1,42.9,11.4,8.6,-0.037,0.348
2023,5483.0,Sultanes de Monterrey,594096,Gilberto Galaviz,2,C,19,4.0,4.0,0.0,0,0.286,0.0,0.0,0.0,3.0,76,4.0,5.3,21.1,0.0,0.25,0.0,0.0,1.0,0,40,13,14,0,1,9,1,0,1,2,MTY,0,4,1,18,4,0.0,17.1,32.5,7.1,78.6,14.3,0.0,0.158,0.237
2023,5483.0,Sultanes de Monterrey,675202,Juan Kirk,2,C,77,20.0,45.0,1.0,0,0.298,3.0,0.0,2.0,11.0,306,3.974,10.4,26.0,0.013,0.4,0.074,0.0,0.0,4,140,40,49,9,3,18,5,0,6,4,MTY,1,20,8,68,15,11.1,13.1,28.6,18.4,44.9,18.4,18.4,0.156,0.287
2023,5483.0,Sultanes de Monterrey,622047,Fernando Perez,10,DH,101,25.0,53.0,0.0,1,0.295,4.0,1.0,2.0,17.0,396,3.921,11.9,25.7,0.01,0.462,0.069,1.0,0.0,14,194,65,62,4,3,22,3,0,11,5,MTY,1,26,12,87,19,5.9,16.4,33.5,27.4,43.5,22.6,6.5,0.138,0.283
2023,5483.0,Sultanes de Monterrey,659253,Aldo Flores,5,3B,79,14.0,42.0,1.0,0,0.256,3.0,1.0,3.0,14.0,328,4.152,19.0,24.1,0.0,0.789,0.048,0.0,0.0,8,152,46,44,5,0,20,1,0,4,6,MTY,0,19,15,62,11,0.0,14.0,30.3,20.5,59.1,9.1,11.4,0.0509999999999999,0.268
2023,5483.0,Sultanes de Monterrey,592261,Delino DeShields,8,CF,56,12.0,21.0,2.0,0,0.235,3.0,0.0,1.0,7.0,209,3.732,10.7,25.0,0.0,0.429,0.083,1.0,0.0,11,95,31,36,4,3,10,1,0,3,4,MTY,0,14,6,48,8,0.0,14.8,32.6,33.3,38.9,16.7,11.1,0.143,0.242
2023,5483.0,Sultanes de Monterrey,495664,Ricardo Serrano,5,3B,128,24.0,68.0,2.0,0,0.214,3.0,0.0,4.0,17.0,516,4.031,15.6,26.6,0.016,0.588,0.066,1.0,0.0,18,286,81,74,7,3,29,3,0,7,7,MTY,2,34,20,106,17,9.5,15.7,28.3,28.4,48.6,13.5,9.5,0.11,0.257
