season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B
2024,676.0,Mayos de Navojoa,664021,Ciro Norzagaray,X,12,1,0,0,0,0,4,0,0,2,0,0.25,8,0.25,0.25,0.5,0,0,,0,27,8,2,2,4,0,0,0.5,1.0,,NAV,
2024,676.0,Mayos de Navojoa,550492,Luis Juarez,DH,28,24,5,1,0,3,19,7,0,26,0,0.243,107,0.289,0.336,0.625,0,1,100.0,1,419,114,36,10,48,0,0,0.271,0.63,35.67,NAV,
2024,676.0,Mayos de Navojoa,668992,Missael Rivera,2B,27,22,9,3,0,1,14,15,0,16,1,0.222,72,0.364,0.306,0.67,3,3,50.0,4,367,89,22,7,40,1,0,0.263,1.05,72.0,NAV,
2024,676.0,Mayos de Navojoa,672361,Agustin Ruiz,LF,29,17,11,2,0,2,27,17,1,19,1,0.213,89,0.339,0.303,0.642,0,1,100.0,0,471,112,27,14,47,3,2,0.274,0.55,44.5,NAV,
2024,676.0,Mayos de Navojoa,664009,Brantley Bell,3B,19,24,7,3,0,2,13,6,0,15,2,0.211,71,0.291,0.338,0.629,1,8,88.9,2,295,80,24,5,44,1,0,0.232,1.2,35.5,NAV,
2024,676.0,Mayos de Navojoa,686659,Julian Escobedo,CF,23,26,11,4,0,1,19,5,1,17,3,0.191,89,0.258,0.27,0.528,1,2,66.7,0,389,98,24,7,40,1,0,0.232,0.93,89.0,NAV,
2024,676.0,Mayos de Navojoa,660842,Juan Uriarte,C,21,16,7,2,0,1,18,3,1,10,1,0.172,58,0.226,0.259,0.485,0,0,,1,222,64,15,8,33,2,0,0.231,1.0,58.0,NAV,
2024,676.0,Mayos de Navojoa,680636,Ramon Mendoza,X,14,5,5,0,1,0,13,5,0,4,1,0.148,27,0.303,0.222,0.525,0,0,,0,148,33,6,1,15,0,0,0.286,1.0,,NAV,
2024,676.0,Mayos de Navojoa,678966,Mike Hart,1B,8,2,2,0,0,0,10,3,0,1,2,0.063,16,0.273,0.063,0.336,0,0,,0,89,23,1,1,12,1,1,0.143,0.4,,NAV,
2024,676.0,Mayos de Navojoa,674496,Daniel Cornejo,LF,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,,,,NAV,
2024,676.0,Mayos de Navojoa,814812,Edgar Lugo,X,6,1,2,0,0,0,1,0,0,0,0,0.0,2,0.0,0.0,0.0,0,0,,0,5,2,0,0,2,0,0,0.0,1.0,,NAV,
