season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,2B,3B,IBB,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA
2024,680.0,Yaquis de Obregon,656185,Greg Allen,7,LF,43,11.0,20.0,2.0,1,0.214,2.0,1.0,0.0,3.0,178,4.14,14.0,11.6,0.023,1.2,0.121,1.0,0.0,7,75,20,31,2,0,15,0,0,4,3,OBR,1,5,6,33,7,1.0,0.0,0.0,14.3,11.2,26.7,22.6,58.1,12.9,6.5,-0.024,0.315
2024,680.0,Yaquis de Obregon,660620,Jonathan Araúz,4,2B,73,18.0,24.0,0.0,1,0.212,4.0,0.0,1.0,10.0,288,3.945,13.7,13.7,0.014,1.0,0.097,1.0,0.0,9,110,17,53,12,4,16,4,0,6,2,OBR,1,10,10,62,12,3.0,0.0,0.0,7.7,5.9,15.5,24.5,34.0,18.9,22.6,0.0,0.292
2024,680.0,Yaquis de Obregon,573627,Kennys Vargas,10,DH,49,10.0,18.0,0.0,0,0.267,2.0,1.0,0.0,7.0,210,4.286,12.2,24.5,0.0,0.5,0.048,1.0,0.0,4,92,26,30,4,4,10,2,0,5,1,OBR,0,12,6,42,8,2.0,0.0,1.0,0.0,12.4,28.3,20.0,36.7,30.0,13.3,0.123,0.263
2024,680.0,Yaquis de Obregon,692944,Kevin Villavicencio,6,SS,52,9.0,21.0,0.0,0,0.225,0.0,0.0,2.0,9.0,168,3.231,7.7,15.4,0.0,0.5,0.0,1.0,0.0,5,91,21,40,5,6,15,0,0,5,4,OBR,0,8,4,48,9,0.0,0.0,0.0,0.0,12.5,23.1,12.5,47.5,27.5,12.5,0.077,0.221
2024,680.0,Yaquis de Obregon,622700,Santiago Chávez,2,C,64,13.0,35.0,2.0,0,0.256,3.0,1.0,2.0,9.0,249,3.891,3.1,31.3,0.0,0.1,0.051,0.0,0.0,8,112,27,41,5,3,15,2,0,2,6,OBR,0,20,2,59,10,3.0,0.0,0.0,0.0,10.8,24.1,24.4,51.2,12.2,12.2,0.282,0.203
2024,680.0,Yaquis de Obregon,640460,Dustin Peterson,9,RF,28,3.0,14.0,0.0,0,0.188,0.0,0.0,2.0,4.0,126,4.5,10.7,32.1,0.0,0.333,0.0,0.0,0.0,6,60,18,16,2,1,4,0,0,1,2,OBR,0,9,3,25,3,0.0,0.0,0.0,0.0,14.3,30.0,37.5,37.5,12.5,12.5,0.214,0.18
2024,680.0,Yaquis de Obregon,616404,Edson Garcia,4,2B,46,6.0,19.0,1.0,1,0.148,2.0,1.0,1.0,10.0,189,4.109,19.6,17.4,0.0,1.125,0.059,1.0,0.0,8,76,17,28,6,0,10,0,0,3,1,OBR,0,8,9,34,4,2.0,0.0,0.0,0.0,9.0,22.4,28.6,39.3,10.7,21.4,-0.022,0.261
2024,680.0,Yaquis de Obregon,546990,Anthony Alford,7,LF,28,6.0,22.0,0.0,0,0.143,1.0,0.0,1.0,4.0,118,4.214,7.1,39.3,0.036,0.182,0.115,0.0,0.0,3,52,19,15,1,1,7,0,0,1,2,OBR,1,11,2,26,3,0.0,0.0,0.0,33.3,16.1,36.5,20.0,60.0,13.3,6.7,0.322,0.202
2024,680.0,Yaquis de Obregon,607752,Sam Travis,7,LF,23,1.0,9.0,0.0,1,0.067,0.0,0.0,2.0,4.0,102,4.435,8.7,26.1,0.0,0.333,0.0,0.0,0.0,6,40,10,15,1,0,7,0,0,1,0,OBR,0,6,2,20,1,0.0,0.0,0.0,0.0,9.8,25.0,40.0,46.7,6.7,6.7,0.174,0.105
2024,680.0,Yaquis de Obregon,680029,Oziel Flores,X,X,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,2,0,1,0,0,0,0,0,0,0,OBR,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024,680.0,Yaquis de Obregon,802888,Victor Marquez,X,X,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,OBR,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024,680.0,Yaquis de Obregon,624523,Riley Unroe,4,2B,24,0.0,7.0,1.0,0,0.0,0.0,1.0,0.0,4.0,95,3.958,25.0,8.3,0.0,3.0,0.0,0.0,0.0,2,36,7,15,3,1,9,0,0,0,0,OBR,0,2,6,16,0,0.0,0.0,0.0,0.0,7.4,19.4,13.3,60.0,6.7,20.0,-0.1669999999999999,0.215
2024,5482.0,Algodoneros de Guasave,660840,Jose Lizarraga,2,C,13,6.0,3.0,0.0,0,0.545,0.0,0.0,1.0,2.0,59,4.538,7.7,7.7,0.0,1.0,0.0,0.0,0.0,1,27,4,11,1,0,3,3,0,1,2,GSV,0,1,1,12,6,0.0,0.0,0.0,0.0,6.8,14.8,36.4,45.5,9.1,9.1,0.0,0.495
2024,5482.0,Algodoneros de Guasave,592312,Jorge Flores,6,SS,113,38.0,36.0,1.0,1,0.405,5.0,1.0,5.0,17.0,442,3.912,9.7,18.6,0.0,0.524,0.061,2.0,0.0,15,173,39,80,7,7,19,4,0,13,15,GSV,0,21,11,99,32,4.0,1.0,0.0,0.0,8.8,22.5,23.8,42.5,25.0,8.8,0.089,0.369
2024,5482.0,Algodoneros de Guasave,660436,Yadir Drake,9,RF,79,38.0,33.0,0.0,2,0.339,11.0,0.0,2.0,14.0,262,3.316,6.3,12.7,0.025,0.5,0.208,0.0,0.0,7,145,30,64,7,7,20,7,0,14,2,GSV,2,10,5,72,23,9.0,0.0,1.0,14.3,11.5,20.7,21.9,34.4,32.8,10.9,0.064,0.395
2024,5482.0,Algodoneros de Guasave,656029,Alexis Wilson,2,C,65,21.0,38.0,3.0,0,0.3,6.0,2.0,1.0,11.0,248,3.815,15.4,13.8,0.015,1.111,0.16,0.0,0.0,8,95,19,44,5,2,16,5,0,5,3,GSV,1,9,10,50,13,5.0,0.0,0.0,7.7,7.7,20.0,29.5,43.2,15.9,11.4,-0.0159999999999999,0.379
2024,5482.0,Algodoneros de Guasave,807581,Randy Delgado,10,DH,18,4.0,7.0,1.0,0,0.333,0.0,0.0,0.0,4.0,61,3.389,5.6,22.2,0.0,0.25,0.0,0.0,0.0,2,33,10,13,1,1,5,0,0,3,1,GSV,0,4,1,16,4,0.0,0.0,0.0,0.0,16.4,30.3,15.4,46.2,30.8,7.7,0.166,0.252
2024,5482.0,Algodoneros de Guasave,510548,Jose Heberto Felix,2,C,5,1.0,0.0,0.0,0,0.25,0.0,0.0,0.0,0.0,23,4.6,20.0,0.0,0.0,,0.0,0.0,0.0,1,8,1,4,1,0,1,0,0,0,1,GSV,0,0,1,4,1,0.0,0.0,0.0,0.0,4.3,12.5,25.0,50.0,0.0,25.0,-0.2,0.336
2024,5482.0,Algodoneros de Guasave,477399,Jesse Castillo,10,DH,112,29.0,32.0,0.0,1,0.309,5.0,2.0,0.0,18.0,483,4.312,17.9,18.8,0.009,0.952,0.079,2.0,0.0,18,207,38,69,8,1,20,6,2,12,2,GSV,1,21,20,89,22,4.0,0.0,2.0,4.2,7.9,18.4,34.8,31.9,18.8,14.5,0.009,0.345
2024,5482.0,Algodoneros de Guasave,652669,Angel Erro,5,3B,73,18.0,31.0,1.0,1,0.268,3.0,2.0,1.0,17.0,292,4.0,9.6,9.6,0.0,1.0,0.048,2.0,0.0,10,130,16,57,8,1,23,0,0,11,4,GSV,0,7,7,62,15,3.0,0.0,0.0,0.0,5.5,12.3,17.5,47.4,21.1,14.0,0.0,0.304
2024,5482.0,Algodoneros de Guasave,687045,Justin Wylie,4,2B,130,41.0,45.0,1.0,1,0.28,9.0,1.0,1.0,19.0,519,3.992,14.6,18.5,0.023,0.792,0.139,0.0,1.0,17,211,46,86,11,5,27,7,1,10,8,GSV,3,24,19,108,26,6.0,0.0,0.0,12.5,8.9,21.8,27.9,40.7,17.4,14.0,0.039,0.353
2024,5482.0,Algodoneros de Guasave,682183,Drew Avans,8,CF,122,33.0,58.0,1.0,1,0.281,7.0,1.0,3.0,26.0,452,3.705,10.7,14.8,0.0,0.722,0.075,0.0,0.0,14,202,40,90,10,11,30,2,0,10,13,GSV,0,18,13,106,25,6.0,1.0,0.0,0.0,8.8,19.8,17.8,47.8,23.3,11.1,0.0409999999999999,0.306
2024,5482.0,Algodoneros de Guasave,604996,Carlos Garzon,2,C,28,8.0,10.0,1.0,1,0.308,1.0,0.0,0.0,4.0,125,4.464,14.3,32.1,0.036,0.444,0.136,0.0,0.0,4,53,23,15,1,1,4,1,0,2,2,GSV,1,9,4,22,5,0.0,0.0,0.0,20.0,18.4,43.4,33.3,40.0,20.0,6.7,0.178,0.322
2024,5482.0,Algodoneros de Guasave,700032,Victor Labrada,7,LF,66,24.0,27.0,2.0,0,0.286,4.0,1.0,0.0,9.0,250,3.788,7.6,30.3,0.045,0.25,0.19,0.0,0.0,6,111,38,40,7,1,13,2,0,4,7,GSV,3,20,5,58,13,0.0,1.0,0.0,37.5,15.2,34.2,20.0,50.0,12.5,17.5,0.2269999999999999,0.327
